producto_id,tienda,categoria,producto,precio_base,stock
PA-001,Parisio,Electrónica,Electrónica Plus,114175,172
PA-002,Parisio,Belleza,Belleza Plus,47127,64
PA-003,Parisio,Belleza,Belleza Mini,77297,92
PA-004,Parisio,Hogar,Hogar Pro,323560,31
PA-005,Parisio,Moda,Moda Pro,152963,96
PA-006,Parisio,Hogar,Hogar Mini,354059,38
PA-007,Parisio,Electrodomésticos,Electrodomésticos Plus,648845,25
PA-008,Parisio,Automotriz,Automotriz Smart,297178,82
PA-009,Parisio,Electrónica,Electrónica Pro,69072,31
PA-010,Parisio,Automotriz,Automotriz Smart,391592,62
PA-011,Parisio,Herramientas,Herramientas Mini,85375,109
PA-012,Parisio,Hogar,Hogar Eco,39659,13
PA-013,Parisio,Automotriz,Automotriz Kit,339427,10
PA-014,Parisio,Juguetes,Juguetes Pack,316527,143
PA-015,Parisio,Moda,Moda Pro,28708,36
PA-016,Parisio,Electrodomésticos,Electrodomésticos Pack,833652,32
PA-017,Parisio,Electrónica,Electrónica Ultra,614744,11
PA-018,Parisio,Deportes,Deportes Mini,287922,157
PA-019,Parisio,Electrónica,Electrónica Pro,79762,36
PA-020,Parisio,Infantil,Infantil Ultra,114708,59
PA-021,Parisio,Deportes,Deportes Kit,484824,7
PA-022,Parisio,Mascotas,Mascotas Plus,37754,50
PA-023,Parisio,Deportes,Deportes Pro,269142,37
PA-024,Parisio,Electrónica,Electrónica Max,71019,40
PA-025,Parisio,Juguetes,Juguetes Kit,351038,180
PA-026,Parisio,Juguetes,Juguetes Smart,20318,193
PA-027,Parisio,Electrónica,Electrónica Smart,813555,152
PA-028,Parisio,Mascotas,Mascotas Kit,308571,174
PA-029,Parisio,Electrodomésticos,Electrodomésticos Smart,364716,145
PA-030,Parisio,Moda,Moda Plus,67976,143
PA-031,Parisio,Hogar,Hogar Mini,16738,73
PA-032,Parisio,Hogar,Hogar Pack,54214,95
PA-033,Parisio,Hogar,Hogar Kit,391596,100
PA-034,Parisio,Mascotas,Mascotas XL,179939,197
PA-035,Parisio,Juguetes,Juguetes Eco,181999,186
PA-036,Parisio,Belleza,Belleza Pack,141534,80
PA-037,Parisio,Moda,Moda Pack,179803,75
PA-038,Parisio,Hogar,Hogar Ultra,165143,126
PA-039,Parisio,Juguetes,Juguetes Eco,174154,122
PA-040,Parisio,Computación,Computación Mini,512957,14
PA-041,Parisio,Infantil,Infantil Max,142665,158
PA-042,Parisio,Moda,Moda Smart,60565,172
PA-043,Parisio,Computación,Computación Pro,902282,40
PA-044,Parisio,Electrodomésticos,Electrodomésticos Plus,305164,65
PA-045,Parisio,Computación,Computación Max,157811,133
PA-046,Parisio,Herramientas,Herramientas Kit,12730,72
PA-047,Parisio,Moda,Moda Kit,84549,61
PA-048,Parisio,Computación,Computación Plus,170143,69
PA-049,Parisio,Electrodomésticos,Electrodomésticos Smart,560757,27
PA-050,Parisio,Moda,Moda Kit,137024,124
