oferta_id,fecha,producto,precio,tienda,categoria
FA-006-18706a613dc97c42-296ea,2025-10-21 05:27:00,Electrónica XL,160850,Falabellox,Electrónica
PA-012-18706a615b118b8c-e25cb,2025-10-21 05:27:00,Hogar Eco,26571,Parisio,Hogar
RI-016-18706a615db138fc-be04c,2025-10-21 05:27:00,Hogar Kit,243989,Riploy,Hogar
FA-032-18706a61b6067564-88195,2025-10-21 05:27:02,Infantil Pack,36550,Falabellox,Infantil
PA-042-18706a61d2f3a801-2d03b,2025-10-21 05:27:02,Moda Smart,46635,Parisio,Moda
RI-012-18706a61d55d3c40-39c78,2025-10-21 05:27:02,Infantil Plus,24574,Riploy,Infantil
FA-001-18706a622df817c8-998bb,2025-10-21 05:27:04,Herramientas Eco,115442,Falabellox,Herramientas
PA-009-18706a624ada2b45-837b3,2025-10-21 05:27:04,Electrónica Pro,45587,Parisio,Electrónica
RI-016-18706a624cf02d35-10407,2025-10-21 05:27:04,Hogar Kit,237482,Riploy,Hogar
FA-033-18706a62a672832f-d0f4b,2025-10-21 05:27:06,Infantil XL,5494,Falabellox,Infantil
PA-009-18706a62c31593b1-6ac92,2025-10-21 05:27:06,Electrónica Pro,58020,Parisio,Electrónica
RI-018-18706a62c4b08cba-1d267,2025-10-21 05:27:06,Infantil Max,125817,Riploy,Infantil
FA-044-18706a631e5923dc-7f322,2025-10-21 05:27:08,Infantil XL,37360,Falabellox,Infantil
RI-009-18706a633c6d04c7-cbf70,2025-10-21 05:27:08,Electrónica Pro,125146,Riploy,Electrónica
FA-049-18706a6396a58ed6-5cff4,2025-10-21 05:27:10,Computación Max,181113,Falabellox,Computación
PA-011-18706a63b37ce3c7-4b271,2025-10-21 05:27:10,Herramientas Mini,62323,Parisio,Herramientas
RI-008-18706a63b45da9db-aaf6a,2025-10-21 05:27:10,Infantil Kit,7789,Riploy,Infantil
PA-045-18706a642b7ba047-ac3b7,2025-10-21 05:27:12,Computación Max,119936,Parisio,Computación
RI-019-18706a642c849513-2af1c,2025-10-21 05:27:12,Deportes Kit,108009,Riploy,Deportes
PA-045-18706a64a38b80ef-5aa9d,2025-10-21 05:27:14,Computación Max,112045,Parisio,Computación
RI-021-18706a64a4b9346f-9a7f9,2025-10-21 05:27:14,Electrónica Smart,176262,Riploy,Electrónica
FA-049-18706a64feefbb2b-7f5ce,2025-10-21 05:27:16,Computación Max,150928,Falabellox,Computación
RI-022-18706a651cb3e6c4-61a3f,2025-10-21 05:27:16,Deportes Mini,212332,Riploy,Deportes
FA-007-18706a657754799c-d1fa0,2025-10-21 05:27:18,Computación Ultra,248417,Falabellox,Computación
PA-047-18706a6593e7a4d5-d36d4,2025-10-21 05:27:18,Moda Kit,58338,Parisio,Moda
RI-040-18706a6594c2f22d-248a4,2025-10-21 05:27:18,Juguetes Mini,36981,Riploy,Juguetes
FA-025-18706a65ef2f1eab-6492,2025-10-21 05:27:20,Automotriz Pack,145012,Falabellox,Automotriz
PA-047-18706a660bdcdd03-e3b88,2025-10-21 05:27:20,Moda Kit,46501,Parisio,Moda
RI-016-18706a660cb1efdd-7c29b,2025-10-21 05:27:20,Hogar Kit,185431,Riploy,Hogar
PA-025-18706a6683e65d42-1c5d8,2025-10-21 05:27:22,Juguetes Kit,175519,Parisio,Juguetes
RI-034-18706a6684fe6ef8-39914,2025-10-21 05:27:22,Deportes Max,141410,Riploy,Deportes
FA-027-18706a66df43f828-598ac,2025-10-21 05:27:24,Mascotas Smart,97144,Falabellox,Mascotas
PA-031-18706a66fbf8f6e9-ecdb6,2025-10-21 05:27:24,Hogar Mini,11549,Parisio,Hogar
RI-007-18706a66fd2e8762-1cebc,2025-10-21 05:27:24,Belleza Max,34515,Riploy,Belleza
FA-008-18706a67578d4d01-f3686,2025-10-21 05:27:26,Hogar Mini,204728,Falabellox,Hogar
RI-019-18706a677597ef1e-72c85,2025-10-21 05:27:26,Deportes Kit,129610,Riploy,Deportes
PA-039-18706a67ec613352-11e00,2025-10-21 05:27:28,Juguetes Eco,109717,Parisio,Juguetes
RI-002-18706a67ed7829f0-c6fbd,2025-10-21 05:27:28,Belleza XL,136490,Riploy,Belleza
PA-035-18706a68649900e7-e9820,2025-10-21 05:27:30,Juguetes Eco,160159,Parisio,Juguetes
RI-029-18706a6865ccfb1c-addcc,2025-10-21 05:27:30,Herramientas Mini,260606,Riploy,Herramientas
PA-031-18706a68dcd1f98a-cd730,2025-10-21 05:27:32,Hogar Mini,9875,Parisio,Hogar
RI-019-18706a68dde8cb5c-7b44b,2025-10-21 05:27:32,Deportes Kit,140411,Riploy,Deportes
PA-045-18706a69550a2152-e4cd5,2025-10-21 05:27:34,Computación Max,113623,Parisio,Computación
RI-038-18706a6955f475b5-80490,2025-10-21 05:27:34,Juguetes Eco,109426,Riploy,Juguetes
PA-003-18706a69cdb4231a-11e35,2025-10-21 05:27:36,Belleza Mini,60291,Parisio,Belleza
RI-041-18706a69ce4dc08d-3ef7a,2025-10-21 05:27:36,Herramientas Eco,62592,Riploy,Herramientas
FA-008-18706a6a287a0927-b97c8,2025-10-21 05:27:38,Hogar Mini,163782,Falabellox,Hogar
