producto_id,tienda,categoria,producto,precio_base,stock
RI-001,Riploy,Computación,Computación Eco,941162,155
RI-002,Riploy,Belleza,Belleza XL,170613,153
RI-003,Riploy,Infantil,Infantil Max,198943,46
RI-004,Riploy,Deportes,Deportes Pack,113888,186
RI-005,Riploy,Herramientas,Herramientas Pro,271170,12
RI-006,Riploy,Belleza,Belleza Plus,54776,61
RI-007,Riploy,Belleza,Belleza Max,44250,53
RI-008,Riploy,Infantil,Infantil Kit,13430,140
RI-009,Riploy,Electrónica,Electrónica Pro,176262,57
RI-010,Riploy,Automotriz,Automotriz Mini,343038,73
RI-011,Riploy,Belleza,Belleza Mini,40966,22
RI-012,Riploy,Infantil,Infantil Plus,46367,41
RI-013,Riploy,Moda,Moda XL,70284,195
RI-014,Riploy,Electrodomésticos,Electrodomésticos XL,321883,89
RI-015,Riploy,Computación,Computación Pack,683419,89
RI-016,Riploy,Hogar,Hogar Kit,325319,167
RI-017,Riploy,Deportes,Deportes Eco,208023,167
RI-018,Riploy,Infantil,Infantil Max,149783,108
RI-019,Riploy,Deportes,Deportes Kit,216018,64
RI-020,Riploy,Mascotas,Mascotas Smart,64194,45
RI-021,Riploy,Electrónica,Electrónica Smart,202601,12
RI-022,Riploy,Deportes,Deportes Mini,416338,92
RI-023,Riploy,Computación,Computación Smart,744224,25
RI-024,Riploy,Computación,Computación Eco,247273,24
RI-025,Riploy,Deportes,Deportes Mini,459026,142
RI-026,Riploy,Infantil,Infantil Eco,35365,76
RI-027,Riploy,Moda,Moda Pack,163603,110
RI-028,Riploy,Infantil,Infantil Pack,37753,101
RI-029,Riploy,Herramientas,Herramientas Mini,449322,150
RI-030,Riploy,Juguetes,Juguetes Ultra,101888,69
RI-031,Riploy,Deportes,Deportes Smart,189287,171
RI-032,Riploy,Herramientas,Herramientas Max,193556,92
RI-033,Riploy,Hogar,Hogar Ultra,483357,80
RI-034,Riploy,Deportes,Deportes Max,172452,95
RI-035,Riploy,Automotriz,Automotriz Kit,270432,75
RI-036,Riploy,Mascotas,Mascotas Smart,357602,25
RI-037,Riploy,Electrodomésticos,Electrodomésticos Mini,581472,84
RI-038,Riploy,Juguetes,Juguetes Eco,133447,167
RI-039,Riploy,Mascotas,Mascotas Ultra,123199,163
RI-040,Riploy,Juguetes,Juguetes Mini,47412,165
RI-041,Riploy,Herramientas,Herramientas Eco,84585,157
RI-042,Riploy,Computación,Computación Ultra,506875,118
RI-043,Riploy,Computación,Computación XL,928106,173
RI-044,Riploy,Electrónica,Electrónica Mini,432627,33
RI-045,Riploy,Infantil,Infantil Pack,197865,140
RI-046,Riploy,Infantil,Infantil Eco,17599,108
RI-047,Riploy,Juguetes,Juguetes Smart,327233,62
RI-048,Riploy,Hogar,Hogar XL,160611,159
RI-049,Riploy,Herramientas,Herramientas Max,445872,32
RI-050,Riploy,Juguetes,Juguetes XL,283141,112
